Round,Dataset,Num1,Num2,Num3,Num4,Num5,CB
1,Complete,30,37,56,58,60,3
1,Monday,30,47,52,53,54,1
1,Tuesday,10,15,25,26,49,1
1,Wednesday,37,39,43,44,48,4
1,Thursday,27,39,51,56,59,2
1,Friday,26,41,44,59,60,2
1,Saturday,20,41,50,53,58,3
1,Sunday,8,26,43,51,55,4
