Round,Dataset,Num1,Num2,Num3,Num4,Num5,CB
1,Complete,6,37,39,52,56,2
1,Monday,13,23,38,53,58,1
1,Tuesday,4,15,28,48,58,1
1,Wednesday,10,14,17,34,59,3
1,Thursday,5,39,45,53,60,1
1,Friday,2,33,45,57,59,2
1,Saturday,17,25,45,54,58,4
1,Sunday,12,26,32,36,39,4
