Round,Dataset,Num1,Num2,Num3
1,Complete,2,0,7
1,Monday,4,2,3
1,Tuesday,5,6,4
1,Wednesday,5,0,4
1,Thursday,5,6,3
1,Friday,6,6,6
1,Saturday,3,5,5
1,Sunday,9,1,5
1,Monday M,6,5,8
1,Monday E,4,1,3
1,Tuesday M,2,1,3
1,Tuesday E,4,6,8
1,Wednesday M,6,2,9
1,Wednesday E,4,6,5
1,Thursday M,6,7,8
1,Thursday E,6,5,6
1,Friday M,7,2,8
1,Friday E,8,2,9
1,Saturday M,6,9,6
1,Saturday E,0,1,8
1,Sunday M,4,1,5
1,Sunday E,5,9,9
