Round,Dataset,Num1,Num2,Num3
1,Complete,8,2,0
1,Monday,1,6,1
1,Tuesday,1,3,1
1,Wednesday,4,2,3
1,Thursday,1,1,0
1,Friday,9,8,2
1,Saturday,8,7,0
1,Sunday,7,6,3
1,Monday M,0,9,0
1,Monday E,9,1,2
1,Tuesday M,9,1,8
1,Tuesday E,3,5,2
1,Wednesday M,4,8,8
1,Wednesday E,0,8,8
1,Thursday M,3,5,3
1,Thursday E,9,2,7
1,Friday M,3,7,0
1,Friday E,3,1,2
1,Saturday M,0,8,5
1,Saturday E,1,0,3
1,Sunday M,3,0,4
1,Sunday E,0,5,2
